round,weight_category,fighter_a_country,fighter_a,score,method,fighter_b,fighter_b_country,winner,event_name,start_date,end_date
F,Men -58kg,KOR,PARK Tae-Joon,1:2,PTF,BAE Jun-Seo,KOR,BAE Jun-Seo,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
SF,Men -58kg,KOR,BAE Jun-Seo,2:0,PTF,SEO Eunsu,KOR,BAE Jun-Seo,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
SF,Men -58kg,ITA,DELL'AQUILA Vito,1:2,PTF,PARK Tae-Joon,KOR,PARK Tae-Joon,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
QF,Men -58kg,JPN,MAEDA Hidetaka,0:2,PTF,PARK Tae-Joon,KOR,PARK Tae-Joon,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
QF,Men -58kg,JOR,ALDAOUD Ja'afar,1:2,PTF,SEO Eunsu,KOR,SEO Eunsu,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
QF,Men -58kg,ITA,DELL'AQUILA Vito,2:0,PTF,ASEM ATA ABU SREE' Moataz Bellah,EGY,DELL'AQUILA Vito,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
QF,Men -58kg,KOR,BAE Jun-Seo,2:0,PTF,TESKERA Josip,CRO,BAE Jun-Seo,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R16,Men -58kg,ESP,FRAILE RODRIGUEZ Jesus,0:2,PTF,PARK Tae-Joon,KOR,PARK Tae-Joon,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R16,Men -58kg,CAN,HOEFLING Nicholas,0:2,PTF,ASEM ATA ABU SREE' Moataz Bellah,EGY,ASEM ATA ABU SREE' Moataz Bellah,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R16,Men -58kg,IRI,ZANDI Abolfazl,1:2,PTF,BAE Jun-Seo,KOR,BAE Jun-Seo,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R16,Men -58kg,AZE,MAGOMEDOV Gashim,1:2,PTF,ALDAOUD Ja'afar,JOR,ALDAOUD Ja'afar,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R16,Men -58kg,IRI,RAZMIAN Mehdi,1:2,PTF,TESKERA Josip,CRO,TESKERA Josip,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R16,Men -58kg,ITA,CONTI Andrea,1:2,PTF,MAEDA Hidetaka,JPN,MAEDA Hidetaka,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R16,Men -58kg,GRE,PSARROS Aristeidis Nikolaos,0:2,PTF,DELL'AQUILA Vito,ITA,DELL'AQUILA Vito,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R16,Men -58kg,CHN,HUANG Kefen,1:2,PTF,SEO Eunsu,KOR,SEO Eunsu,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -58kg,ESP,AGENJO TRIGOS Jairo,0:2,PTF,CONTI Andrea,ITA,CONTI Andrea,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -58kg,USA,GUN Youngsuk Ethan,0:2,PTF,ASEM ATA ABU SREE' Moataz Bellah,EGY,ASEM ATA ABU SREE' Moataz Bellah,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -58kg,BRA,GILLIARD GONCALVES Matheus,0:2,PTF,ALDAOUD Ja'afar,JOR,ALDAOUD Ja'afar,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -58kg,BUL,GEORGIEV Hristiyan,0:2,PTF,HUANG Kefen,CHN,HUANG Kefen,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -58kg,CAN,BRINDAMOHAN Nithan,0:2,PTF,PARK Tae-Joon,KOR,PARK Tae-Joon,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -58kg,ITA,DELL'AQUILA Vito,2:0,PTF,ROSCA Artiom,MDA,DELL'AQUILA Vito,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -58kg,IRI,ZANDI Abolfazl,2:0,PTF,HAMDI Riad Nasser A,KSA,ZANDI Abolfazl,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -58kg,KOR,AN Hyang Sik,0:2,WDR,SEO Eunsu,KOR,SEO Eunsu,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -58kg,AZE,MAGOMEDOV Gashim,2:0,PTF,ALMUSHRAF Abdullah Essa A,KSA,MAGOMEDOV Gashim,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -58kg,BRA,MELO Paulo,1:2,PTF,FRAILE RODRIGUEZ Jesus,ESP,FRAILE RODRIGUEZ Jesus,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -58kg,CAN,HOEFLING Nicholas,2:1,PTF,MOLJ Domen,SLO,HOEFLING Nicholas,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -58kg,JPN,MAEDA Hidetaka,2:0,PTF,MANENKOV Maksym,UKR,MAEDA Hidetaka,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -58kg,GRE,DIMITROPOULOS Konstantinos,0:2,PTF,BAE Jun-Seo,KOR,BAE Jun-Seo,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -58kg,IRI,RAZMIAN Mehdi,2:1,PTF,PAN Kuei-An,TPE,RAZMIAN Mehdi,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -58kg,CRO,TESKERA Josip,2:1,PTF,GURTSIEV Georgii,BLR,TESKERA Josip,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
F,Men -68kg,CRO,GOLUBIC Marko,0:2,PTF,MUN Jinho,KOR,MUN Jinho,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
SF,Men -68kg,KOR,MUN Jinho,2:1,PTF,VYKOV Amir,RUS,MUN Jinho,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
SF,Men -68kg,USA,RODRIGUEZ Maikol,0:2,PTF,GOLUBIC Marko,CRO,GOLUBIC Marko,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
QF,Men -68kg,BRA,PONTES Edival,1:2,PTF,RODRIGUEZ Maikol,USA,RODRIGUEZ Maikol,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
