round,weight_category,fighter_a_country,fighter_a,score,method,fighter_b,fighter_b_country,winner
F,Men -58kg,KOR,PARK Tae-joon,2:0,WDR,MAGOMEDOV Gashim,AZE,PARK Tae-joon
BMC,Men -58kg,ITA,DELL'AQUILA Vito,0:0,WDR,RAVET Cyrian,FRA,RAVET Cyrian
BMC,Men -58kg,ESP,VICENTE YUNTA Adrian,0:2,PTF,JENDOUBI Mohamed khalil,TUN,JENDOUBI Mohamed khalil
QF,Men -58kg,ESP,VICENTE YUNTA Adrian,0:2,PTF,MAGOMEDOV Gashim,AZE,MAGOMEDOV Gashim
QF,Men -58kg,AUS,LEWIS Bailey,0:2,PTF,JENDOUBI Mohamed khalil,TUN,JENDOUBI Mohamed khalil
QF,Men -58kg,HUN,SALIM Omar gergely,0:2,PTF,DELL'AQUILA Vito,ITA,DELL'AQUILA Vito
QF,Men -58kg,FRA,RAVET Cyrian,1:2,PTF,PARK Tae-joon,KOR,PARK Tae-joon
R16,Men -58kg,PLE,YASER ISMAIL Omar,0:2,PTF,VICENTE YUNTA Adrian,ESP,VICENTE YUNTA Adrian
R16,Men -58kg,ITA,DELL'AQUILA Vito,2:1,PTF,ABABAKIROV Samirkhon,KAZ,DELL'AQUILA Vito
R16,Men -58kg,AIN,GURTSIEV Georgii,0:2,PTF,RAVET Cyrian,FRA,RAVET Cyrian
R16,Men -58kg,NIG,ISSAKA GARBA Nouridine,0:2,PTF,LEWIS Bailey,AUS,LEWIS Bailey
R16,Men -58kg,ARG,GUZMAN Lucas,1:2,PTF,SALIM Omar gergely,HUN,SALIM Omar gergely
R16,Men -58kg,IRL,WOOLLEY Jack,0:2,PTF,MAGOMEDOV Gashim,AZE,MAGOMEDOV Gashim
R16,Men -58kg,TUN,JENDOUBI Mohamed khalil,2:0,PTF,KORNEEV Lev,SRB,KORNEEV Lev
R16,Men -58kg,KOR,PARK Tae-joon,2:0,PTF,GRANADO Yohandri,VEN,GRANADO Yohandri
R32,Men -58kg,SEN,DIOP Bocar,0:2,PTF,KORNEEV Lev,SRB,KORNEEV Lev
R32,Men -58kg,PLE,YASER ISMAIL Omar,2:0,PTF,TIRANVALIPOUR Hadi,TRT,YASER ISMAIL Omar
REPSF,Men -58kg,KOR,PARK Tae-joon,2:0,PTF,JENDOUBI Mohamed khalil,TUN,PARK Tae-joon
REP,Men -58kg,FRA,RAVET Cyrian,2:0,PTF,GRANADO Yohandri,VEN,RAVET Cyrian
REPSF,Men -58kg,AZE,MAGOMEDOV Gashim,2:0,PTF,DELL'AQUILA Vito,ITA,MAGOMEDOV Gashim
